PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom
P-71309,BATCH|Jackfruit Tinga,1.2,Kg,PRODUCTION FOOD,1200.0,g
P-26075,BATCH|Jalapeno Cilantro Slaw,5.0,Kg,PREP,5000.0,g
P-50803,BATCH|Jalapeno Honey Mayo,2.5,L,,2500.0,ml
P-67661,BATCH|Jalapeno Popper Dip,750.0,g,PRODUCTION FOOD,750.0,g
P-56328,BATCH|Jambalaya ,40.0,Kg,,40000.0,g
P-67542,BATCH|Jerk Marinade,350.0,ml,PREP,350.0,ml
P-71476,BATCH|Jollof Beef & Rice,7.5,Kg,PREP,7500.0,g
P-47229,BATCH|Katsu Curry Vegetables,20.0,Kg,,20000.0,g
P-67837,BATCH|Keralan Chicken Curry,1.1,Kg,,1100.0,g
P-26674,BATCH|Kung Pao Chicken ,90.0,Kg,,90000.0,g
P-67555,BATCH|Kung Pao Mushrooms,88.5,Kg,,88500.0,g
P-70639,BATCH|Lamb Kadhai,5.0,Kg,FEAST,5000.0,g
P-71854,BATCH|Lemon Scented Ricotta,1.01,Kg,,1010.0,g
P-41727,BATCH|Lentil & Squash Stew,15.0,PTN,,4927.0,g
P-55301,BATCH|Lettuce Wrap Tofu,6.5,Kg,FEAST,6500.0,g
P-55239,BATCH|Lettuce Wrap|PORK LARB,6.2,Kg,FEAST,6200.0,g
P-56930,BATCH|Lime Crema|Dressing,4.25,L,PREP,4250.0,ml
P-70223,BATCH|Mac & Cheese ,11.0,Kg,,11000.0,g
P-48263,BATCH|Mac & Cheese(Combined),12.0,Kg,,12000.0,g
P-65593,BATCH|Mango Pineapple Salsa,993.0,g,,993.0,g
P-54363,BATCH|Maple Oat Smoothie Base,3.6,L,,3600.0,ml
P-51245,BATCH|Mapo Tofu|Base,2.75,Kg,,2750.0,g
P-56381,BATCH|Marinate|Chicken Karaage,4.6,Kg,,4600.0,g
P-68034,BATCH|Marinated Bocconcini,3.0,Kg,PREP,3000.0,g
P-67543,BATCH|Marinated Jerk Chicken,1.2,Kg,,1200.0,g
P-54677,BATCH|Marinated Tofu|GRILLED,6.8,Kg,,6800.0,g
P-56429,BATCH|Mediterranean Veg ,1.7,Kg,,1700.0,g
P-67708,BATCH|Mexican Casserole,1.89,Kg,,1890.0,g
P-68081,BATCH|Mexican Cauliflower,1.2,Kg,,1200.0,g
P-71461,BATCH|Mexican Cauliflower Rice,7.8,Kg,PRODUCTION FOOD,7800.0,g
P-67530,BATCH|Mexican Lasagna,16.0,each,,4032.0,g
P-62010,BATCH|Mushroom & Broccoli|BASE,5.0,Kg,,5000.0,g
P-61878,BATCH|Mushroom Thai Larb,1.75,Kg,,1750.0,g
P-60390,BATCH|Nutella BananaBread Pud,1.25,Kg,,1250.0,g
P-56427,BATCH|Olive Tapenade ,520.0,g,,520.0,g
P-56766,BATCH|Oven Roasted Tomatoes,454.0,g,,454.0,g
P-54685,"BATCH|Oyster Mush ""Calamari""",4.0,Kg,,4000.0,g
P-44410,BATCH|Palak Paneer,33.0,Kg,,33000.0,g
P-53361,BATCH|Pancake|Banana,24.0,ea,,4250.0,g
P-26631,BATCH|Pancake|Chocolate Chip,48.0,ea,,4080.0,g
P-39328,BATCH|Pancake|Pumpkin Spice,24.0,ea,,960.0,g
P-66080,BATCH|Parsnip puree|POPAR,1.5,L,,1500.0,ml
P-55656,BATCH|Peas & Carrots,2.0,Kg,,2000.0,g
P-71466,BATCH|Pineapple Cucumber Salsa,2.6,Kg,,2600.0,g
P-56982,BATCH|Pineapple Mustard,550.0,ml,,550.0,ml
P-41467,BATCH|Pita Chips,0.96,Kg,,960.0,g
P-57036,BATCH|Poached prawns,8.0,Kg,,8000.0,g
P-61104,BATCH|PoblanoFilling,4.2,Kg,,4200.0,g
P-68116,BATCH|Pollo Asado,9.0,Kg,,9000.0,g
P-56912,BATCH|Pork Mince|Tantanmen,1.0,Kg,,1000.0,g
P-62692,BATCH|Potato Salad|NEW,8.5,Kg,,8500.0,g
P-42354,BATCH|Pulled Pork Braise,36.0,Kg,PREP,36000.0,g
P-58350,BATCH|Pumpkin Coconut Sauce,5.0,L,,5000.0,ml
P-53239,BATCH|Pumpkin Gnocchi|POP,2.4,Kg,,2400.0,g
P-56424,BATCH|Raita ,2.1,Kg,PRODUCTION FOOD,2100.0,g
P-56633,BATCH|Ramen Surimi|BASIC,600.0,g,,600.0,g
P-56322,BATCH|Ratatouille Provencal,23.0,Kg,,23000.0,g
P-56534,BATCH|Red Coconut Curry ,3.36,Kg,,3360.0,g
P-67830,BATCH|Red Lentil Curry|VEGAN,1.5,Kg,PREP,1500.0,g
P-71361,BATCH|Relleno Custard,3.2,L,,3200.0,ml
P-61118,BATCH|Relleno|Egg Batter,900.0,ml,,300.0,g
P-62403,BATCH|RELLENO|Poblano,1.0,each,,261.0,g
P-56918,BATCH|Rice pudding ,600.0,g,,600.0,g
P-56625,BATCH|Roasted Carrots ,3.0,Kg,,3000.0,g
P-56995,BATCH|Roasted Corn|GARNISH,975.0,g,,975.0,g
P-35271,BATCH|Roasted Garlic Mayo,4.0,Kg,PREP,4000.0,g
P-71430,BATCH|Roasted Mojo Chicken,4.5,Kg,PRODUCTION FOOD,4500.0,g
P-42012,BATCH|Roasted Serrano Sour Cre,1.0,Kg,,1000.0,g
P-46421,BATCH|Roasted Squash,9.5,Kg,PREP,9500.0,g
P-26947,BATCH|Rosemary Potatoes ,10.0,Kg,,10000.0,g
P-46572,BATCH|Sage Brown Butter,1.5,L,,1500.0,ml
P-61504,BATCH|Salad|Tomato bocconcini,6.5,Kg,,6500.0,g
P-71862,BATCH|Sambal Olek,500.0,ml,,500.0,ml
P-26205,BATCH|Sauteed Mushroom,5.25,Kg,PREP,5250.0,g
P-49969,BATCH|Sauteed Peppers & Onions,1.6,Kg,,1600.0,g
P-71519,BATCH|Sauteed Spinach & Kale,1.2,Kg,,1200.0,g
P-67349,BATCH|Scalloped Potatoes|V.2,1.8,Kg,,1800.0,g
P-56365,BATCH|Seafood Pancake,19.0,Kg,PREP,19000.0,g
P-71734,BATCH|Seasoned Okra,500.0,g,,500.0,g
P-56537,BATCH|Sesame Ginger Salmon,950.0,g,,950.0,g
P-62128,BATCH|Sesame Ginger Tofu,1.0,Kg,,1000.0,g
P-26883,BATCH|Shanghai Noodles,14.536,Kg,,14536.0,g
P-60387,BATCH|Shiitake Congee,6.5,L,,6500.0,ml
P-71510,BATCH|Shrimp ceviche,8.0,Kg,PREP,8000.0,g
P-56899,BATCH|Signature Green Salad ,2.06,Kg,,2060.0,g
P-26610,BATCH|Singapore Cashew Curry,13.0,L,PREP,13000.0,ml
P-55428,BATCH|Singapore Style Beef,15.95,Kg,PRODUCTION FOOD,15950.0,g
P-55429,BATCH|Singapore Style Tofu,15.95,Kg,,15950.0,g
P-46483,BATCH|SLAW|Jicama Pear&Tajin ,540.0,g,,540.0,g
P-67662,BATCH|Smoked Salmon Dip,580.0,g,,580.0,g
P-71471,BATCH|Sofrito,3.1,Kg,,3100.0,g
P-67350,BATCH|Spanish Rice & Beans,3.5,Kg,,3500.0,g
P-68974,BATCH|Special Sauce|PB,20.0,L,,20000.0,ml
P-70990,BATCH|Spiced French Toast,18.0,each,,1512.0,g
P-71176,BATCH|Spiced Ganache,1.0,Kg,,1000.0,g
P-26073,BATCH|Spicy Sambal Mayo,4.0,L,PREP,4000.0,ml
P-71600,BATCH|Spicy Spiral Fries.,5.0,Kg,PREP,5000.0,g
P-67660,BATCH|Spinach & Artichoke Dip,1.3,Kg,PREP,1300.0,g
P-70096,BATCH|Squash Apple Salad,215.0,Kg,,215000.0,g
P-56829,BATCH|Sriracha mayo ,1.1,L,,1100.0,ml
P-70785,BATCH|Sweet & Sour Tofu,12.0,Kg,,12000.0,g
P-61905,BATCH|Sweet Potato & Kale Hash,4.0,Kg,,4000.0,g
P-67601,BATCH|Tahini Marinated Tofu,1.0,Kg,PRODUCTION FOOD,1000.0,g
P-71705,BATCH|Tajin Tots,5.0,Kg,,5000.0,g
P-47164,BATCH|Tamarind Green Beans,9.25,Kg,,9250.0,g
P-64842,BATCH|Tandoori Yogurt|VEGAN,1.7,Kg,,1700.0,g
P-56913,BATCH|Tantanmen Soup Base,1.4,L,,1400.0,ml
P-71312,BATCH|Tempura Cod|TACO,1.0,Kg,,1000.0,g
P-67670,BATCH|Texas Caviar,2.89,Kg,,2890.0,g
P-56631,BATCH|Thai Cashew Dipping Sauc,1.2,L,,1200.0,ml
P-47259,BATCH|Thai Larb Tofu,9.0,Kg,,9000.0,g
P-52214,BATCH|Thunderbird Chili|Santa,1.0,Kg,,1000.0,g
P-57012,BATCH|Toasted Cashews,400.0,g,,400.0,g
P-67819,BATCH|Tofu Breakfast Scramble,2.1,Kg,PREP,2100.0,g
P-68228,BATCH|Tofu Tikka Masala|VEGAN,1.2,Kg,,1200.0,g
P-60795,BATCH|Tomato Sauce|standard,16.0,L,,16000.0,ml
P-48476,BATCH|Tortilla Chips,1.0,Kg,,1000.0,g
P-43726,BATCH|Tropical Oats Base,6.0,Kg,,6000.0,g
P-25160,BATCH|Tuna Melt|Base,3.0,Kg,,3000.0,g
P-61757,BATCH|Tuna noodle Casserole,2.2,Kg,,2200.0,g
P-57040,BATCH|Turkey Gravy ,1.0,L,,1000.0,ml
P-68203,BATCH|Tuscan Gnocchi|VEGAN,3.0,Kg,,3000.0,g
P-56763,BATCH|Vegan Blanco sauce|MC,750.0,ml,,750.0,ml
P-56550,BATCH|Vegan Chili ,18.0,Kg,,18000.0,g
P-68829,BATCH|Vegan Chipotle Mayo|PB,10.479,L,,10479.0,ml
P-47654,BATCH|Vegetarian Furikake,2.31,Kg,,2310.0,g
P-68236,BATCH|Veggie Biryani,2.2,Kg,,2200.0,g
P-62037,BATCH|Vietnamese salad|BASE,2.3,Kg,,2300.0,g
P-62043,BATCH|Warm mushrooms,1.9,Kg,,1900.0,g
P-56551,BATCH|WestCoast Chowder ,7.0,L,,7000.0,ml
P-51297,BATCH|White Bean Cassoulet,16.0,Kg,,16000.0,g
P-70782,BATCH|Wok Fried Gai Lan,4.54,Kg,,4540.0,g
P-44933,BATCH|Wok Fried Greens,15.28,Kg,,15280.0,g
P-70098,BATCHICreamy Butternut Gnocchi,198.0,Kg,,198000.0,g
P-70120,BATCHIVegan Pumpkin Blondies,600.0,ea,,15000.0,g
P-65589,BATCHlCoconut Rice,1.0,Kg,,1000.0,g
P-52039,BATCHlDan Dan Tofu,12.0,Kg,,12000.0,g
P-65595,BATCHlMarinated Tofu,3.0,PTN,,240.0,g
P-54849,BATCHlMassaman Beef Curry,46.5,Kg,PREP,46500.0,g
P-33709,BATCHlPineapple Fried Rice,14.5,Kg,,14500.0,g
P-42410,BATCHlPoblano & Mushroom Mix,2.75,Kg,,2750.0,g
P-48995,BATCHlSalad|Winter Vegetables,10.0,Kg,,10000.0,g
P-41318,"BATCHlSaucelKatsu Curry""Gravy""",5.75,L,PREP,5750.0,ml
P-56700,BATTER|Cauliflower Wings,1.0,L,,1000.0,ml
P-14479,BATTER|French Toast|Spiced,2.6,L,PREP,2600.0,ml
P-28285,BATTER|Pancakes,4.8,Kg,PREP,4800.0,g
P-15353,BATTER|Tempura,5.0,L,PREP,5000.0,ml
P-71201,BERKIPOPIMUSHRAGOUT,16.0,Kg,,16000.0,g
P-70968,BERKIPOPIMUSHRISOTTO,1.0,PTN,,591.0,g
P-70969,BERKIPOPISAFFRONCOCONUTSAUCE,20.0,L,,20000.0,ml
P-22287,BEV MILK ALMOND CHOCOLATE,1.0,PTN,,946.0,ml
P-22288,BEV MILK ALMOND ORIGINAL,1.0,PTN,,946.0,ml
P-24629,Bev|Milkshake|Strawberry,1.0,L,,1000.0,ml
P-52941,BISQUE|Coconut| taco Prawn|FLX,500.0,ml,,500.0,ml
P-54692,BLANCHED|Spinach,3.0,Kg,,3000.0,g
P-54300,BLOW|Sheperds Pie Cast,12.0,Kg,,12000.0,g
P-50985,BNO|Ancho Steak,13.0,Kg,,13000.0,g
P-61843,BNO|Burrito Vegetables|VEGAN,500.0,g,,500.0,g
P-42364,BNO|MexicanCabbage,1.0,Kg,PREP,1000.0,g
P-50847,BNO|Roast Pineapple,800.0,g,,800.0,g
